from,to,net_species_gain,path_astar,path_nominal,path_length,path_length_astar,net_length_improvement,net_cost,net_cost_astar,net_cost_improvement,astar_time
1*4|1,2*3*4|1,1,(1*4|1)-(4|1)+(2*4|1)+(2*3*4|1),(1*4|1)-(4|1)+(2*4|1)+(2*3*4|1),3,3,0,5.0,5.0,0.0,0.000109612
1*4|1,1*2*3*4|1,2,(1*4|1)+(1*2*4|1)+(1*2*3*4|1),(1*4|1)+(1*2*4|1)+(1*2*3*4|1),2,2,0,2.0,2.0,0.0,7.6958e-5
1*4|1,5|1,-1,(1*4|1)+(1*4*5|1)-(4*5|1)-(5|1),(1*4|1)-(4|1)-(|1)+(5|1),3,3,0,7.0,7.0,0.0,0.000167428
1*4|1,1*5|1,0,(1*4|1)-(1|1)+(1*5|1),(1*4|1)-(1|1)+(1*5|1),2,2,0,4.0,4.0,0.0,6.9471e-5
1*4|1,2*5|1,0,(1*4|1)+(1*2*4|1)+(1*2*4*5|1)-(2*4*5|1)-(2*5|1),(1*4|1)-(4|1)-(|1)+(2|1)+(2*5|1),4,4,0,8.0,8.0,0.0,0.000206392
1*4|1,1*2*5|1,1,(1*4|1)-(1|1)+(1*2|1)+(1*2*5|1),(1*4|1)-(1|1)+(1*2|1)+(1*2*5|1),3,3,0,5.0,5.0,0.0,0.000104872
1*4|1,3*5|1,0,(1*4|1)+(1*3*4|1)+(1*3*4*5|1)-(3*4*5|1)-(3*5|1),(1*4|1)-(4|1)-(|1)+(3|1)+(3*5|1),4,4,0,8.0,8.0,0.0,0.000201752
1*4|1,1*3*5|1,1,(1*4|1)+(1*3*4|1)+(1*3*4*5|1)-(1*3*5|1),(1*4|1)-(1|1)+(1*3|1)+(1*3*5|1),3,3,0,5.0,5.0,0.0,0.000113994
1*4|1,2*3*5|1,1,(1*4|1)+(1*3*4|1)+(1*3*4*5|1)-(1*3*5|1)-(3*5|1)+(2*3*5|1),(1*4|1)-(4|1)-(|1)+(2|1)+(2*3|1)+(2*3*5|1),5,5,0,9.0,9.0,0.0,0.000218256
1*4|1,1*2*3*5|1,2,(1*4|1)-(1|1)+(1*2|1)+(1*2*3|1)+(1*2*3*5|1),(1*4|1)-(1|1)+(1*2|1)+(1*2*3|1)+(1*2*3*5|1),4,4,0,6.0,6.0,0.0,0.000194138
