from,to,net_species_gain,path_astar,path_nominal,path_length,path_length_astar,net_length_improvement,net_cost,net_cost_astar,net_cost_improvement,astar_time
1*3|3,1|1,-1,(1*3|3)=(1*3|2)=(1*3|1)-(1|1),(1*3|3)=(1*3|2)=(1*3|1)-(1|1),3,3,0,13.0,13.0,0.0,0.000116888
1*3|3,2|1,-1,(1*3|3)=(1*3|2)>(3|2)=(3|1)-(|1)+(2|1),(1*3|3)=(1*3|2)=(1*3|1)-(3|1)-(|1)+(2|1),5,5,0,17.0,14.1,2.9,0.000236793
1*3|3,1*2|1,0,(1*3|3)-(1|3)+(1*2|3)=(1*2|2)=(1*2|1),(1*3|3)=(1*3|2)=(1*3|1)-(1|1)+(1*2|1),4,4,0,14.0,14.0,0.0,0.000178173
1*3|3,3|1,-1,(1*3|3)=(1*3|2)>(3|2)=(3|1),(1*3|3)=(1*3|2)=(1*3|1)-(3|1),3,3,0,13.0,10.1,2.9,8.4565e-5
1*3|3,1*3|1,0,(1*3|3)=(1*3|2)=(1*3|1),(1*3|3)=(1*3|2)=(1*3|1),2,2,0,10.0,10.0,0.0,6.7021e-5
1*3|3,2*3|1,0,(1*3|3)=(1*3|2)>(3|2)=(3|1)+(2*3|1),(1*3|3)=(1*3|2)=(1*3|1)-(3|1)+(2*3|1),4,4,0,14.0,11.1,2.9,0.000118983
1*3|3,1*2*3|1,1,(1*3|3)=(1*3|2)=(1*3|1)+(1*2*3|1),(1*3|3)=(1*3|2)=(1*3|1)+(1*2*3|1),3,3,0,11.0,11.0,0.0,0.000110157
1*3|3,4|1,-1,(1*3|3)=(1*3|2)+(1*3*4|2)>(3*4|2)=(3*4|1)-(4|1),(1*3|3)=(1*3|2)=(1*3|1)-(3|1)-(|1)+(4|1),5,5,0,17.0,14.1,2.9,0.000227521
1*3|3,1*4|1,0,(1*3|3)-(1|3)+(1*4|3)=(1*4|2)=(1*4|1),(1*3|3)=(1*3|2)=(1*3|1)-(1|1)+(1*4|1),4,4,0,14.0,14.0,0.0,0.000185636
1*3|3,2*4|1,0,(1*3|3)=(1*3|2)+(1*3*4|2)>(3*4|2)=(3*4|1)-(4|1)+(2*4|1),(1*3|3)=(1*3|2)=(1*3|1)-(3|1)-(|1)+(2|1)+(2*4|1),6,6,0,18.0,15.1,2.9,0.000342314
