from,to,net_species_gain,path_astar,path_nominal,path_length,path_length_astar,net_length_improvement,net_cost,net_cost_astar,net_cost_improvement,astar_time
2*10|1,1|1,-1,(2*10|1)+(1*2*10|1)>(1*10|1)-(1|1),(2*10|1)-(10|1)-(|1)+(1|1),3,3,0,7.0,4.1,2.9,0.000280086
2*10|1,2|1,-1,(2*10|1)-(2|1),(2*10|1)-(2|1),1,1,0,3.0,3.0,0.0,0.00017836
2*10|1,3|1,-1,(2*10|1)+(2*8*10|1)>(2|1)+(2*3|1)-(3|1),(2*10|1)-(10|1)-(|1)+(3|1),3,4,-1,7.0,5.1,1.9,0.001006117
2*10|1,2*3|1,0,(2*10|1)-(2|1)+(2*3|1),(2*10|1)-(2|1)+(2*3|1),2,2,0,4.0,4.0,0.0,0.000311809
2*10|1,4|1,-1,(2*10|1)+(2*4*10|1)>(4*10|1)-(4|1),(2*10|1)-(10|1)-(|1)+(4|1),3,3,0,7.0,4.1,2.9,0.000288537
2*10|1,5|1,-1,(2*10|1)+(2*5*10|1)+(2*5*9*10|1)>(5*10|1)-(5|1),(2*10|1)-(10|1)-(|1)+(5|1),3,4,-1,7.0,5.1,1.9,0.001093385
2*10|1,6|1,-1,(2*10|1)+(2*8*10|1)>(2|1)+(2*6|1)-(6|1),(2*10|1)-(10|1)-(|1)+(6|1),3,4,-1,7.0,5.1,1.9,0.001001403
2*10|1,4*6|1,0,(2*10|1)+(2*4*10|1)>(4*10|1)+(4*6*10|1)>(4*6|1),(2*10|1)-(10|1)-(|1)+(4|1)+(4*6|1),4,4,0,8.0,2.2,5.8,0.000493418
2*10|1,7|1,-1,(2*10|1)+(2*7*10|1)+(2*6*7*10|1)>(7|1),(2*10|1)-(10|1)-(|1)+(7|1),3,3,0,7.0,2.1,4.9,0.000816971
2*10|1,1*7|1,0,(2*10|1)+(1*2*10|1)>(1*10|1)-(1|1)+(1*7|1),(2*10|1)-(10|1)-(|1)+(1|1)+(1*7|1),4,4,0,8.0,5.1,2.9,0.000511623
2*10|1,5*7|1,0,(2*10|1)+(2*7*10|1)+(2*6*7*10|1)>(7|1)+(5*7|1),(2*10|1)-(10|1)-(|1)+(5|1)+(5*7|1),4,4,0,8.0,3.1,4.9,0.000997837
2*10|1,1*5*7|1,1,(2*10|1)+(1*2*10|1)>(1*10|1)+(1*5*10|1)+(1*5*7*10|1)-(1*5*7|1),(2*10|1)-(10|1)-(|1)+(1|1)+(1*5|1)+(1*5*7|1),5,5,0,9.0,6.1,2.9,0.000855249
2*10|1,4*5*7|1,1,(2*10|1)+(2*4*10|1)+(2*4*7*10|1)>(4*7*10|1)+(4*5*7*10|1)-(4*5*7|1),(2*10|1)-(10|1)-(|1)+(4|1)+(4*5|1)+(4*5*7|1),5,5,0,9.0,6.1,2.9,0.000802401
2*10|1,1*4*5*7|1,2,(2*10|1)+(2*4*10|1)+(2*4*7*10|1)>(4*7*10|1)+(4*5*7*10|1)-(4*5*7|1)+(1*4*5*7|1),(2*10|1)-(10|1)-(|1)+(1|1)+(1*4|1)+(1*4*5|1)+(1*4*5*7|1),6,6,0,10.0,7.1,2.9,0.001599368
2*10|1,8|1,-1,(2*10|1)+(2*8*10|1)+(2*8*9*10|1)>(8*10|1)-(8|1),(2*10|1)-(10|1)-(|1)+(8|1),3,4,-1,7.0,5.1,1.9,0.001023003
2*10|1,9|1,-1,(2*10|1)+(2*9*10|1)>(2*9|1)-(9|1),(2*10|1)-(10|1)-(|1)+(9|1),3,3,0,7.0,4.1,2.9,0.000309399
2*10|1,1*9|1,0,(2*10|1)+(2*9*10|1)>(2*9|1)+(1*2*9|1)>(1*9|1),(2*10|1)-(10|1)-(|1)+(1|1)+(1*9|1),4,4,0,8.0,2.2,5.8,0.000529573
2*10|1,3*9|1,0,(2*10|1)+(2*3*10|1)+(2*3*9*10|1)>(2*3*9|1)-(3*9|1),(2*10|1)-(10|1)-(|1)+(3|1)+(3*9|1),4,4,0,8.0,5.1,2.9,0.000501798
2*10|1,4*9|1,0,(2*10|1)+(2*4*10|1)+(2*4*9*10|1)>(4*9|1),(2*10|1)-(10|1)-(|1)+(4|1)+(4*9|1),4,3,1,8.0,2.1,5.9,0.000354417
