from,to,net_species_gain,path_astar,path_nominal,path_length,path_length_astar,net_length_improvement,net_cost,net_cost_astar,net_cost_improvement,astar_time
5|1,2|1,0,(5|1)-(|1)+(2|1),(5|1)-(|1)+(2|1),2,2,0,4.0,4.0,0.0,8.1543e-5
5|1,3|1,0,(5|1)+(3*5|1)>(3|1),(5|1)-(|1)+(3|1),2,2,0,4.0,1.1,2.9,8.3147e-5
5|1,4|1,0,(5|1)+(4*5|1)>(4|1),(5|1)-(|1)+(4|1),2,2,0,4.0,1.1,2.9,8.6803e-5
5|1,3*4|1,1,(5|1)+(4*5|1)>(4|1)+(3*4|1),(5|1)-(|1)+(3|1)+(3*4|1),3,3,0,5.0,2.1,2.9,0.000109818
5|1,2*5|1,1,(5|1)+(2*5|1),(5|1)+(2*5|1),1,1,0,1.0,1.0,0.0,3.6953e-5
2*5|1,|1,-2,(2*5|1)+(2*4*5|1)>(4|1)-(|1),(2*5|1)-(5|1)-(|1),2,3,-1,6.0,4.1,1.9,0.000171572
2*5|1,1|1,-1,(2*5|1)+(1*2*5|1)>(1*5|1)>(1|1),(2*5|1)-(5|1)-(|1)+(1|1),3,3,0,7.0,1.2000000000000002,5.8,8.1513e-5
2*5|1,2|1,-1,(2*5|1)-(2|1),(2*5|1)-(2|1),1,1,0,3.0,3.0,0.0,4.2538e-5
2*5|1,3|1,-1,(2*5|1)+(2*3*5|1)>(3|1),(2*5|1)-(5|1)-(|1)+(3|1),3,2,1,7.0,1.1,5.9,7.4069e-5
2*5|1,4|1,-1,(2*5|1)+(2*4*5|1)>(4|1),(2*5|1)-(5|1)-(|1)+(4|1),3,2,1,7.0,1.1,5.9,7.9262e-5
2*5|1,3*4|1,0,(2*5|1)+(2*3*5|1)>(3|1)+(3*4|1),(2*5|1)-(5|1)-(|1)+(3|1)+(3*4|1),4,3,1,8.0,2.1,5.9,0.000100912
2*5|1,5|1,-1,(2*5|1)-(5|1),(2*5|1)-(5|1),1,1,0,3.0,3.0,0.0,4.532e-5
